# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_0.h5 0 
# uid: 21512
# jobid: 3480824
# start_time: 1667454937
# start_time_asci: Thu Nov  3 00:55:37 2022
# end_time: 1667454937
# end_time_asci: Thu Nov  3 00:55:37 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 327 bytes (compressed)
# record table: 145 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 51 bytes (compressed), ver=2
# DXT_POSIX module: 13638 bytes (compressed), ver=1
# HEATMAP module: 65 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 12316929884430929403, file_name: /homes/yll6162/project_metadata/train64_0.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read      149          860232             512      0.0015      0.0015
 X_POSIX       0   read      150         1068080             352      0.0015      0.0015
 X_POSIX       0   read      151          876920             328      0.0015      0.0015
 X_POSIX       0   read      152          876768             512      0.0015      0.0015
 X_POSIX       0   read      153          894192             512      0.0015      0.0015
 X_POSIX       0   read      154          910856             512      0.0015      0.0015
 X_POSIX       0   read      155          954208             512      0.0015      0.0015
 X_POSIX       0   read      156         1047828             328      0.0015      0.0015
 X_POSIX       0   read      157          997048             512      0.0015      0.0015
 X_POSIX       0   read      158         1012144             512      0.0015      0.0015
 X_POSIX       0   read      159         1014520             512      0.0015      0.0015
 X_POSIX       0   read      160         1031164             512      0.0015      0.0015
 X_POSIX       0   read      161         1063944             328      0.0015      0.0015
 X_POSIX       0   read      162         1047668             512      0.0016      0.0016
 X_POSIX       0   read      163         1054024             512      0.0016      0.0016
 X_POSIX       0   read      164         1057856             512      0.0016      0.0016
 X_POSIX       0   read      165         1061624             512      0.0016      0.0016
 X_POSIX       0   read      166         1063808             512      0.0016      0.0016
 X_POSIX       0   read      167         1067944             512      0.0016      0.0016
 X_POSIX       0   read      168         1072064             512      0.0016      0.0016
 X_POSIX       0   read      169         1074248             512      0.0016      0.0016
 X_POSIX       0   read      170         1074384             512      0.0016      0.0016
 X_POSIX       0   read      171         1074424             544      0.0016      0.0016
 X_POSIX       0   read      172         1074968             512      0.0016      0.0016
 X_POSIX       0   read      173         1195168             352      0.0016      0.0016
 X_POSIX       0   read      174         1082088             328      0.0016      0.0016
 X_POSIX       0   read      175         1081936             512      0.0016      0.0016
 X_POSIX       0   read      176         1088272             512      0.0016      0.0016
 X_POSIX       0   read      177         1094888             512      0.0016      0.0016
 X_POSIX       0   read      178         1118144             512      0.0016      0.0016
 X_POSIX       0   read      179         1178416             328      0.0016      0.0016
 X_POSIX       0   read      180         1139640             512      0.0016      0.0016
 X_POSIX       0   read      181         1158608             512      0.0016      0.0016
 X_POSIX       0   read      182         1160984             512      0.0016      0.0016
 X_POSIX       0   read      183         1169960             512      0.0016      0.0016
 X_POSIX       0   read      184         1192656             328      0.0016      0.0016
 X_POSIX       0   read      185         1178256             512      0.0017      0.0017
 X_POSIX       0   read      186         1185944             512      0.0017      0.0017
 X_POSIX       0   read      187         1188152             512      0.0017      0.0017
 X_POSIX       0   read      188         1190336             512      0.0017      0.0017
 X_POSIX       0   read      189         1192520             512      0.0017      0.0017
 X_POSIX       0   read      190         1195032             512      0.0017      0.0017
 X_POSIX       0   read      191         1197568             512      0.0017      0.0017
 X_POSIX       0   read      192         1199752             512      0.0017      0.0017
 X_POSIX       0   read      193         1836932             328      0.0017      0.0017
 X_POSIX       0   read      194         1199888             512      0.0017      0.0017
 X_POSIX       0   read      195         1199928             544      0.0017      0.0017
 X_POSIX       0   read      196         1200472             512      0.0017      0.0017
 X_POSIX       0   read      197         1324888             352      0.0017      0.0017
