# darshan log version: 3.21
# compression method: ZLIB
# exe: ./C_scripts/file_iter_l_name train64_4194304.h5 4194304 
# uid: 21512
# jobid: 2318893
# start_time: 1670488253
# start_time_asci: Thu Dec  8 02:30:53 2022
# end_time: 1670488253
# end_time_asci: Thu Dec  8 02:30:53 2022
# nprocs: 1
# run time: 1
# metadata: lib_ver = 3.4.0
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 335 bytes (compressed)
# record table: 162 bytes (compressed)
# POSIX module: 161 bytes (compressed), ver=4
# STDIO module: 49 bytes (compressed), ver=2
# DXT_POSIX module: 12499 bytes (compressed), ver=1
# HEATMAP module: 78 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/tracing	tracefs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/homes/zhd1108	xfs
# mount entry:	/homes/yll6162	xfs
# mount entry:	/homes/wkliao	xfs
# mount entry:	/sys/fs/bpf	bpf
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/vol/cucis	xfs
# mount entry:	/boot/efi	vfat
# mount entry:	/files4	xfs
# mount entry:	/files7	xfs
# mount entry:	/files1	xfs
# mount entry:	/files5	xfs
# mount entry:	/files3	xfs
# mount entry:	/files2	xfs
# mount entry:	/files8	xfs
# mount entry:	/files6	xfs
# mount entry:	/homes	autofs
# mount entry:	/boot	xfs
# mount entry:	/misc	autofs
# mount entry:	/meas	autofs
# mount entry:	/dev	devtmpfs
# mount entry:	/usr	xfs
# mount entry:	/tmp	xfs
# mount entry:	/var	xfs
# mount entry:	/net	autofs
# mount entry:	/vol	autofs
# mount entry:	/	xfs

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 13216830486790783839, file_name: /homes/yll6162/project_metadata/project_hdf_block/train64_4194304.h5
# DXT, rank: 0, hostname: acfs.ece.northwestern.edu
# DXT, write_count: 0, read_count: 1494
# DXT, mnt_pt: /homes/yll6162, fs_type: xfs
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0   read      250           46952             512      0.0025      0.0025
 X_POSIX       0   read      251           47104             512      0.0025      0.0025
 X_POSIX       0   read      252           47432             512      0.0025      0.0025
 X_POSIX       0   read      253           47552             512      0.0025      0.0025
 X_POSIX       0   read      254           48768             328      0.0025      0.0025
 X_POSIX       0   read      255           47712             512      0.0025      0.0025
 X_POSIX       0   read      256           48200             512      0.0025      0.0025
 X_POSIX       0   read      257           48360             512      0.0025      0.0025
 X_POSIX       0   read      258           48496             512      0.0025      0.0025
 X_POSIX       0   read      259           48632             512      0.0025      0.0025
 X_POSIX       0   read      260           49096             512      0.0025      0.0025
 X_POSIX       0   read      261           47256             512      0.0025      0.0025
 X_POSIX       0   read      262           49584             512      0.0025      0.0025
 X_POSIX       0   read      263           47392             512      0.0025      0.0025
 X_POSIX       0   read      264           49720             544      0.0025      0.0025
 X_POSIX       0   read      265           50264             512      0.0025      0.0025
 X_POSIX       0   read      266           53600             352      0.0025      0.0025
 X_POSIX       0   read      267           50536             328      0.0025      0.0025
 X_POSIX       0   read      268           50384             512      0.0025      0.0025
 X_POSIX       0   read      269           50864             512      0.0025      0.0025
 X_POSIX       0   read      270           51016             512      0.0025      0.0025
 X_POSIX       0   read      271           51168             512      0.0025      0.0025
 X_POSIX       0   read      272           52240             328      0.0025      0.0025
 X_POSIX       0   read      273           51320             512      0.0025      0.0025
 X_POSIX       0   read      274           51472             512      0.0025      0.0025
 X_POSIX       0   read      275           51800             512      0.0025      0.0025
 X_POSIX       0   read      276           51920             512      0.0026      0.0026
 X_POSIX       0   read      277           53136             328      0.0026      0.0026
 X_POSIX       0   read      278           52080             512      0.0026      0.0026
 X_POSIX       0   read      279           52568             512      0.0026      0.0026
 X_POSIX       0   read      280           52728             512      0.0026      0.0026
 X_POSIX       0   read      281           52864             512      0.0026      0.0026
 X_POSIX       0   read      282           53000             512      0.0026      0.0026
 X_POSIX       0   read      283           53464             512      0.0026      0.0026
 X_POSIX       0   read      284           51624             512      0.0026      0.0026
 X_POSIX       0   read      285           53952             512      0.0026      0.0026
 X_POSIX       0   read      286           72552             328      0.0026      0.0026
 X_POSIX       0   read      287           51760             512      0.0026      0.0026
 X_POSIX       0   read      288           54088             544      0.0026      0.0026
